,p1_x,p1_y,p1_c,p2_x,p2_y,p2_c
11-14_20-48-3.1_01_0045_2221,444,178,1,549,315,1
11-14_20-48-3.1_01_0152_3140,615,19,1,361,319,1
11-14_20-48-3.1_01_0369_5345,170,376,1,283,3,1
11-14_20-48-3.1_01_0446_6351,464,7,1,404,311,1
11-14_20-48-3.1_01_0552_7319,347,60,1,584,309,1
11-14_20-48-3.1_01_0777_9470,462,351,1,566,363,1
11-14_20-48-3.1_01_0787_9559,344,399,1,502,333,1
11-14_20-48-3.1_01_1335_16044,248,368,1,408,340,1
11-14_20-48-3.1_01_1524_20658,275,93,1,291,82,1
11-14_21-48-6.7_03_0215_97339,420,290,1,391,371,1
11-14_21-48-6.7_03_0288_98082,384,373,1,427,300,1
11-14_21-48-6.7_03_0854_106549,384,331,1,530,388,1
11-14_23-48-18.1_07_0460_277364,520,367,1,537,381,1
11-14_23-48-18.1_07_0942_286876,292,308,1,267,315,1
11-14_23-48-18.1_07_1279_289802,162,349,1,641,62,1
11-15_0-48-38.1_09_1170_399113,323,414,1,268,321,1
11-15_0-48-38.1_09_1527_403281,478,370,1,560,385,1
11-15_0-48-38.1_09_1737_405870,218,398,1,394,387,1
11-16_21-0-9.5_03_0649_109639,509,317,1,609,448,1
11-17_21-29-11.76_03_0002_114928,468,362,1,386,473,1
11-17_21-29-11.76_03_0003_114981,468,362,1,386,473,1
11-17_21-29-11.76_03_0004_115153,468,362,1,386,473,1
11-18_3-59-36.76_16_0001_692154,241,415,1,,,
11-18_3-59-36.76_16_0003_692229,241,415,1,,,
