Var1,Var2,Var3,Var4,Var5,Var6,Var7
11-14_20-48-3.1_01_0045_2221,31.76003344,35.38701813,189.2840726,139.0723967,63.34570722,83.1766132
11-14_20-48-3.1_01_0152_3140,196.2183389,-98.11070329,239.7441397,-56.6971063,8.458560989,77.74875383
11-14_20-48-3.1_01_0369_5345,-234.9123221,-97.09298465,27.74828362,-11.80645037,-262.5850166,217.8459002
11-14_20-48-3.1_01_0446_6351,93.77724657,-186.3024307,225.3005681,1.741042389,-18.48757911,80.42052536
11-14_20-48-3.1_01_0552_7319,39.38108151,-272.2642254,179.4763888,169.8567778,-139.0050194,75.79725686
11-14_20-48-3.1_01_0777_9470,67.5184289,-52.23031402,52.9838284,157.0190697,-93.86612185,51.76638059
11-14_20-48-3.1_01_0787_9559,-76.36826799,6.90389014,17.14955156,101.7614789,-37.25043446,66.04659925
11-14_20-48-3.1_01_1335_16044,-111.0411985,-136.3885719,40.30993386,39.64621948,-134.8992893,62.20234198
11-14_20-48-3.1_01_1524_20658,-96.28434892,-123.1749285,226.2177163,-64.0825862,-151.0174709,221.0423066
11-14_21-48-6.7_03_0215_97339,-4.831045899,71.2104837,99.53846282,51.78520669,-216.5771919,38.2387282
11-14_21-48-6.7_03_0288_98082,-9.935867738,-48.75054744,39.87532933,1.950618996,78.2116665,90.39369247
11-14_21-48-6.7_03_0854_106549,-75.40923044,144.3410545,70.03757585,115.2311222,112.4771698,22.74397
11-14_23-48-18.1_07_0460_277364,111.131006,34.22130403,39.3612453,130.1251936,-9.747938949,31.29413421
11-14_23-48-18.1_07_0942_286876,-145.0703798,8.782478886,86.92030411,-195.7624674,36.10196419,80.64822966
11-14_23-48-18.1_07_1279_289802,-133.4389954,-223.9961998,52.28056494,215.3753993,-87.47509775,214.9278978
11-15_0-48-38.1_09_1170_399113,-65.99328983,-71.30106613,6.479991462,-181.8163958,15.78471363,72.81505227
11-15_0-48-38.1_09_1527_403281,52.41094474,133.395151,36.83185985,151.3347888,-53.70537629,31.53141916
11-15_0-48-38.1_09_1737_405870,-181.702378,-84.31133191,15.88457995,-36.01124543,64.95753625,18.87308662
11-16_21-0-9.5_03_0649_109639,100.0206173,42.38728155,76.82451805,183.0203807,-165.477573,14.89758697
11-17_21-29-11.76_03_0002_114928,90.61345872,-152.2334144,46.70963175,61.25061422,-255.1960156,5.417230951
11-17_21-29-11.76_03_0003_114981,90.61345872,-152.2334144,46.70963175,61.25061422,-255.1960156,5.417230951
11-17_21-29-11.76_03_0004_115153,90.61345872,-152.2334144,46.70963175,61.25061422,-255.1960156,5.417230951
11-18_3-59-36.76_16_0001_692154,-136.6422832,-108.484465,9.101806001,NaN,NaN,NaN
11-18_3-59-36.76_16_0003_692229,-136.6422832,-108.484465,9.101806001,NaN,NaN,NaN
